,LOCATION,TIME,Value,Pais
0,LUX,2005,2.9,Luxemburgo
1,LUX,2006,1.3,Luxemburgo
2,LUX,2007,5.7,Luxemburgo
3,LUX,2008,4.0,Luxemburgo
4,LUX,2009,-6.1,Luxemburgo
5,LUX,2010,5.5,Luxemburgo
6,LUX,2011,4.5,Luxemburgo
7,LUX,2012,2.5,Luxemburgo
8,LUX,2013,2.9,Luxemburgo
9,LUX,2014,8.4,Luxemburgo
10,LUX,2015,0.5,Luxemburgo
11,LUX,2016,2.8,Luxemburgo
12,LUX,2017,2.3,Luxemburgo
13,LUX,2018,2.3,Luxemburgo
14,LUX,2019,1.8,Luxemburgo
15,LUX,2020,2.6,Luxemburgo
16,LUX,2021,2.6,Luxemburgo
17,MEX,2005,2.6,Mexico
18,MEX,2006,5.4,Mexico
19,MEX,2007,3.0,Mexico
20,MEX,2008,2.0,Mexico
21,MEX,2009,-6.7,Mexico
22,MEX,2010,4.2,Mexico
23,MEX,2011,4.1,Mexico
24,MEX,2012,3.2,Mexico
25,MEX,2013,0.7,Mexico
26,MEX,2014,2.1,Mexico
27,MEX,2015,3.0,Mexico
28,MEX,2016,3.0,Mexico
29,MEX,2017,1.7,Mexico
30,MEX,2018,1.8,Mexico
31,MEX,2019,-0.7,Mexico
32,MEX,2020,1.7,Mexico
33,MEX,2021,2.2,Mexico
34,FIN,2005,4.2,Finalndia
35,FIN,2006,2.4,Finalndia
36,FIN,2007,4.7,Finalndia
37,FIN,2008,0.9,Finalndia
38,FIN,2009,-6.5,Finalndia
39,FIN,2010,3.6,Finalndia
40,FIN,2011,4.0,Finalndia
41,FIN,2012,-0.8,Finalndia
42,FIN,2013,-0.8,Finalndia
43,FIN,2014,0.2,Finalndia
44,FIN,2015,1.7,Finalndia
45,FIN,2016,3.5,Finalndia
46,FIN,2017,1.6,Finalndia
47,FIN,2018,2.8,Finalndia
48,FIN,2019,0.8,Finalndia
49,FIN,2020,1.9,Finalndia
50,FIN,2021,1.0,Finalndia
51,CHE,2005,4.2,Suiza
52,CHE,2006,2.2,Suiza
53,CHE,2007,0.7,Suiza
54,CHE,2008,2.4,Suiza
55,CHE,2009,2.2,Suiza
56,CHE,2010,-0.6,Suiza
57,CHE,2011,3.9,Suiza
58,CHE,2012,-1.3,Suiza
59,CHE,2013,-0.7,Suiza
60,CHE,2014,2.7,Suiza
61,CHE,2015,2.2,Suiza
62,CHE,2016,0.6,Suiza
63,CHE,2017,1.7,Suiza
64,CHE,2018,0.8,Suiza
65,CHE,2019,0.9,Suiza
66,CHE,2020,1.5,Suiza
67,CHE,2021,1.5,Suiza
68,FRA,2005,2.3,Francia
69,FRA,2006,2.5,Francia
70,FRA,2007,3.2,Francia
71,FRA,2008,0.4,Francia
72,FRA,2009,-2.5,Francia
73,FRA,2010,1.9,Francia
74,FRA,2011,2.2,Francia
75,FRA,2012,-0.4,Francia
76,FRA,2013,0.7,Francia
77,FRA,2014,1.5,Francia
78,FRA,2015,1.4,Francia
79,FRA,2016,1.4,Francia
80,FRA,2017,2.4,Francia
81,FRA,2018,1.0,Francia
82,FRA,2019,1.5,Francia
83,FRA,2020,1.4,Francia
84,FRA,2021,1.3,Francia
85,ITA,2005,1.0,Italia
86,ITA,2006,1.8,Italia
87,ITA,2007,1.2,Italia
88,ITA,2008,-1.2,Italia
89,ITA,2009,-4.2,Italia
90,ITA,2010,1.8,Italia
91,ITA,2011,-0.4,Italia
92,ITA,2012,-5.7,Italia
93,ITA,2013,-2.8,Italia
94,ITA,2014,0.3,Italia
95,ITA,2015,1.2,Italia
96,ITA,2016,2.0,Italia
97,ITA,2017,1.6,Italia
98,ITA,2018,1.0,Italia
99,ITA,2019,-0.5,Italia
100,ITA,2020,0.4,Italia
101,ITA,2021,0.4,Italia
102,OECD,2005,3.1,OECD - Total
103,OECD,2006,3.1,OECD - Total
104,OECD,2007,2.4,OECD - Total
105,OECD,2008,-0.1,OECD - Total
106,OECD,2009,-3.8,OECD - Total
107,OECD,2010,3.1,OECD - Total
108,OECD,2011,1.8,OECD - Total
109,OECD,2012,0.8,OECD - Total
110,OECD,2013,1.4,OECD - Total
111,OECD,2014,2.1,OECD - Total
112,OECD,2015,2.8,OECD - Total
113,OECD,2016,2.1,OECD - Total
114,OECD,2017,2.8,OECD - Total
115,OECD,2018,2.1,OECD - Total
116,OECD,2019,1.5,OECD - Total
117,OECD,2020,1.7,OECD - Total
118,OECD,2021,1.9,OECD - Total
119,POL,2005,2.4,Polonia
120,POL,2006,7.3,Polonia
121,POL,2007,9.5,Polonia
122,POL,2008,5.4,Polonia
123,POL,2009,-0.2,Polonia
124,POL,2010,4.1,Polonia
125,POL,2011,4.2,Polonia
126,POL,2012,-0.4,Polonia
127,POL,2013,-0.5,Polonia
128,POL,2014,4.8,Polonia
129,POL,2015,3.3,Polonia
130,POL,2016,2.3,Polonia
131,POL,2017,4.9,Polonia
132,POL,2018,5.3,Polonia
133,POL,2019,4.4,Polonia
134,POL,2020,4.6,Polonia
135,POL,2021,3.6,Polonia
136,TUR,2005,9.8,Turquia
137,TUR,2006,7.3,Turquia
138,TUR,2007,5.6,Turquia
139,TUR,2008,-0.5,Turquia
140,TUR,2009,-7.8,Turquia
141,TUR,2010,12.9,Turquia
142,TUR,2011,10.7,Turquia
143,TUR,2012,1.8,Turquia
144,TUR,2013,10.6,Turquia
145,TUR,2014,3.0,Turquia
146,TUR,2015,5.3,Turquia
147,TUR,2016,4.5,Turquia
148,TUR,2017,7.4,Turquia
149,TUR,2018,-1.6,Turquia
150,TUR,2019,-4.9,Turquia
151,TUR,2020,3.8,Turquia
152,TUR,2021,4.3,Turquia
153,CHL,2005,11.6,Chile
154,CHL,2006,9.1,Chile
155,CHL,2007,7.2,Chile
156,CHL,2008,9.0,Chile
157,CHL,2009,-6.7,Chile
158,CHL,2010,13.8,Chile
159,CHL,2011,9.7,Chile
160,CHL,2012,7.5,Chile
161,CHL,2013,4.0,Chile
162,CHL,2014,-0.4,Chile
163,CHL,2015,2.6,Chile
164,CHL,2016,1.9,Chile
