,PROVINCIA,PRODUTO,TOTAL_VENTAS,GENERO,RANGO_ETARIO,ANIO
0,BUENOS AIRES,ZAPATILLA FILA EURO JOGGER SPORT KIDS,20846,JUV,JUVENIL,2019
1,BUENOS AIRES,BOTIN SINTETICO UMBRO DRAKO JR,19730,JUV,JUVENIL,2019
2,C.A.B.A.,ZAPATILLA FILA EURO JOGGER SPORT KIDS,2246,JUV,JUVENIL,2019
3,C.A.B.A.,BOTIN SINTETICO UMBRO DRAKO JR,2049,JUV,JUVENIL,2019
4,C.A.B.A.,ZAPATILLA FILA CLASSIC 92 KIDS,1890,JUV,JUVENIL,2019
5,C.A.B.A.,ZAPATILLA FILA LUGANO 5.0 KIDS,1808,JUV,JUVENIL,2019
6,CATAMARCA,ZAPATILLA FILA EURO JOGGER SPORT KIDS,284,JUV,JUVENIL,2019
7,CATAMARCA,ZAPATILLA FILA LUGANO 5.0 VLC BABY,233,JUV,JUVENIL,2019
8,CATAMARCA,ZAPATILLA FILA FIT TECH INFANTIL,224,JUV,JUVENIL,2019
9,CATAMARCA,ZAPATILLA FILA LUGANO 5.0 KIDS,204,JUV,JUVENIL,2019
10,CHACO,ZAPATILLA FILA ELEVATE KIDS,884,JUV,JUVENIL,2019
11,CHACO,ZAPATILLA FILA LUGANO 5.0 VLC BABY,550,JUV,JUVENIL,2019
12,CHACO,ZAPATILLA FILA CLASSIC 92 KIDS,524,JUV,JUVENIL,2019
13,CHACO,ZAPATILLA FILA OVERPASS TECH KIDS,424,JUV,JUVENIL,2019
14,CHUBUT,ZAPATILLA FILA VOLT KIDS,955,JUV,JUVENIL,2019
15,CHUBUT,ZAPATILLA FILA EURO JOGGER SPORT KIDS,635,JUV,JUVENIL,2019
16,CHUBUT,ZAPATILLA FILA ELEVATE KIDS,480,JUV,JUVENIL,2019
17,CHUBUT,ZAPATILLA FILA ILLUSION KIDS,470,JUV,JUVENIL,2019
18,CÓRDOBA,ZAPATILLA FILA EURO JOGGER SPORT KIDS,3669,JUV,JUVENIL,2019
19,CÓRDOBA,ZAPATILLA FILA VOLT KIDS,3526,JUV,JUVENIL,2019
20,ENTRE RÍOS,ZAPATILLA FILA EURO JOGGER SPORT KIDS,708,JUV,JUVENIL,2019
21,ENTRE RÍOS,ZAPATILLA FILA LUGANO 5.0 KIDS,613,JUV,JUVENIL,2019
22,ENTRE RÍOS,ZAPATILLA FILA VOLT KIDS,580,JUV,JUVENIL,2019
23,JUJUY,ZAPATILLA FILA EURO JOGGER SPORT KIDS,502,JUV,JUVENIL,2019
24,JUJUY,ZAPATILLA FILA VOLT KIDS,451,JUV,JUVENIL,2019
25,JUJUY,ZAPATILLA FILA SLANT SUMMER KIDS,286,JUV,JUVENIL,2019
26,LA PAMPA,ZAPATILLA FILA VOLT KIDS,641,JUV,JUVENIL,2019
27,LA PAMPA,BOTIN SINTETICO UMBRO DRAKO JR,638,JUV,JUVENIL,2019
28,LA PAMPA,ZAPATILLA FILA EURO JOGGER SPORT KIDS,460,JUV,JUVENIL,2019
29,LA PAMPA,ZAPATILLA FILA ELEVATE KIDS,394,JUV,JUVENIL,2019
30,LA PAMPA,BOTIN SINTETICO UMBRO VELOX JR,372,JUV,JUVENIL,2019
31,LA RIOJA,ZAPATILLA FILA CLASSIC 92 KIDS,188,JUV,JUVENIL,2019
32,LA RIOJA,ZAPATILLA FILA CLASSIC 92 BABY,164,JUV,JUVENIL,2019
33,LA RIOJA,ZAPATILLA FILA SPIRIT KIDS,156,JUV,JUVENIL,2019
34,LA RIOJA,ZAPATILLA FILA LUGANO 5.0 VLC BABY,142,JUV,JUVENIL,2019
35,LA RIOJA,ZAPATILLA FILA BLAZE KIDS,103,JUV,JUVENIL,2019
36,LA RIOJA,BOTIN SINTETICO UMBRO DRAKO JR,101,JUV,JUVENIL,2019
37,MENDOZA,ZAPATILLA FILA CLASSIC 92 KIDS,1488,JUV,JUVENIL,2019
38,MENDOZA,ZAPATILLA FILA EURO JOGGER SPORT KIDS,1354,JUV,JUVENIL,2019
39,MENDOZA,BOTIN SINTETICO UMBRO VELOX JR,1069,JUV,JUVENIL,2019
40,MISIONES,ZAPATILLA FILA LUGANO 5.0 VLC BABY,163,JUV,JUVENIL,2019
41,MISIONES,ZAPATILLA FILA LUGANO 5.0 KIDS,146,JUV,JUVENIL,2019
42,MISIONES,ZAPATILLA FILA CLASSIC 92 KIDS,145,JUV,JUVENIL,2019
43,MISIONES,ZAPATILLA FILA ELEVATE KIDS,144,JUV,JUVENIL,2019
44,NEUQUÉN,ZAPATILLA FILA SPIRIT KIDS,2652,JUV,JUVENIL,2019
45,NEUQUÉN,ZAPATILLA FILA EURO JOGGER SPORT KIDS,1851,JUV,JUVENIL,2019
46,NEUQUÉN,BOTIN SINTETICO UMBRO DRAKO JR,1843,JUV,JUVENIL,2019
47,NEUQUÉN,BOTIN SINTETICO UMBRO ATTAK II JR,1701,JUV,JUVENIL,2019
48,NEUQUÉN,BOTIN SINTETICO UMBRO SPEED SONIC JUNIOR,1413,JUV,JUVENIL,2019
49,NEUQUÉN,ZAPATILLA FILA ELEVATE KIDS,1373,JUV,JUVENIL,2019
50,RÍO NEGRO,BOTIN SINTETICO UMBRO VELOX JR,882,JUV,JUVENIL,2019
51,RÍO NEGRO,BOTIN SINTETICO UMBRO DRAKO JR,826,JUV,JUVENIL,2019
52,RÍO NEGRO,BOTIN SINTETICO UMBRO SPEED SONIC JUNIOR,593,JUV,JUVENIL,2019
53,RÍO NEGRO,ZAPATILLA FILA VOLT KIDS,560,JUV,JUVENIL,2019
